timestamp,x,y,z
1760588,-0.122,0.244,-0.061
1761593,-0.122,0.183,-0.061
1762598,0.0,0.122,0.0
1763602,-0.122,0.183,-0.061
1764606,-1.77,-0.366,-0.549
1765610,0.732,0.793,0.305
1766615,0.061,0.183,0.061
1767620,-0.122,0.305,-0.061
1768625,-0.122,0.183,0.0
1769630,-0.183,0.244,-0.122
1770634,-0.122,0.183,0.0
1771638,-0.122,0.305,-0.122
1772642,0.0,0.183,0.061
1773647,0.244,0.366,0.061
1774652,0.0,0.061,0.0
1775656,0.0,0.305,-0.061
1776661,-0.244,0.305,-0.122
1777665,-0.366,0.183,-0.122
1778669,-0.061,0.305,-0.061
1779675,0.122,-0.061,0.183
1780679,0.122,-0.061,0.183
1781684,0.183,0.244,0.061
1782688,0.0,0.244,-0.061
1783692,-0.122,0.183,-0.061
1784697,0.0,0.244,0.061
1785701,-0.305,0.061,-0.061
1786706,-0.061,0.183,-0.061
1787711,0.0,0.183,0.0
1788715,-0.061,0.244,0.0
1789719,-0.061,0.183,0.061
1790724,0.061,0.305,0.0
1791727,-0.122,0.122,0.0
1792729,0.0,0.183,0.0
1793733,-0.122,0.122,0.0
1794737,-0.183,0.244,-0.061
1795741,-0.244,0.427,-0.183
1796745,-0.244,0.122,-0.061
1797750,-0.061,0.183,0.0
1798754,0.061,0.244,0.061
1799759,0.0,0.305,-0.122
1800763,-0.061,0.061,0.0
1801768,-0.061,0.244,-0.061
1802773,-0.061,0.183,-0.061
1803778,-0.183,0.183,-0.061
1804785,-0.061,0.183,0.0
1805789,0.122,0.366,-0.061
1806793,-0.061,0.183,0.0
1807797,0.0,0.183,0.0
1808800,0.0,0.183,0.0
1809806,-0.061,0.244,-0.122
1810810,-0.061,0.183,0.061
1811814,0.0,0.366,-0.061
1812819,-0.244,0.061,0.061
1813823,0.0,0.183,0.0
1814828,-0.183,0.122,-0.061
1815833,0.0,0.244,0.0
1816838,-0.183,0.305,-0.122
1817842,-0.061,0.183,0.0
1818846,-0.122,0.122,0.0
1819851,-0.122,0.061,0.061
1820855,-0.183,0.183,-0.122
1821860,-0.122,0.244,0.0
1822864,-0.061,0.183,0.0
1823868,0.061,0.244,0.0
1824872,-0.122,0.122,0.0
1825876,-0.122,0.549,-0.244
